2025-07-27 09:55:36,753 - INFO - Loaded 103 unique wallet addresses
2025-07-27 09:55:36,754 - INFO - Starting risk analysis process...
2025-07-27 09:56:16,718 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,718 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,719 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,720 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,720 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,721 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:16,722 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:21,109 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:21,110 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:21,112 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:21,113 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:29,470 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:29,471 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:29,471 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:29,472 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:29,472 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:32,161 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:32,162 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:32,163 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
2025-07-27 09:56:32,164 - WARNING - Error processing token balance: float() argument must be a string or a real number, not 'NoneType'
